UAL_promoter,Plate,Well,Strand,Reports_genes,Gene,Operon,Operon_name,Duplicated_reporting,Amplicons
yacL,1,A6,1,yacL,yacL,NA,NA,NA,1
yadC,8,D4,-1,yadC,yadC,NA,NA,NA,1
yadF,14,G5,-1,can,can,NA,NA,NA,1
yadG,14,C2,1,"yadG,yadH",NA,"yadG,yadH",yadGH,NA,1
yadK,12,B1,-1,yadK,yadK,NA,NA,NA,1
yadN,8,C12,-1,yadN,yadN,NA,NA,NA,1
yadR,11,G1,1,erpA,erpA,NA,NA,NA,1
yadS,12,B5,-1,yadS,yadS,NA,NA,NA,1
yaeH,8,D1,-1,yaeH,yaeH,NA,NA,NA,1
yaeQ,8,B5,1,"yaeQ,arfB,nlpE",NA,"yaeQ,arfB,nlpE",yaeQ-arfB-nlpE,NA,1
yafC,13,A1,-1,yafC,yafC,NA,NA,NA,1
yafD,12,C9,1,"yafD,yafE",NA,"yafD,yafE",yafDE,NA,1
yafJ,8,C6,1,yafJ,yafJ,NA,NA,NA,1
yafK,12,G5,-1,yafK,yafK,NA,NA,NA,1
yafL,12,C12,1,yafL,yafL,NA,NA,NA,1
yafM,11,G8,1,rayT,rayT,NA,NA,NA,1
yafN,11,E11,1,NA,NA,NA,NA,NA,0
yafS,6,G5,1,yafS,yafS,NA,NA,NA,1
yafT,8,C5,1,yafT,yafT,NA,NA,NA,1
yafU,12,C7,-1,yafU,yafU,yafU,yafU,NA,1
yafV,12,C1,-1,yafV,yafV,NA,NA,NA,1
yafZ,21,A3,-1,yafZ,yafZ,NA,NA,yafZ,1
yagB,12,F11,-1,yagB,yagB,NA,NA,NA,1
yagE,14,A4,1,"yagE,yagF",NA,"yagE,yagF",yagEF,NA,1
yagG,8,C8,1,"yagG,yagH",NA,"yagG,yagH",yagGH,NA,1
yagI,8,D3,-1,yagI,yagI,NA,NA,NA,1
yagJ,11,H4,1,yagJ,yagJ,yagJ,yagJ,NA,1
yagK,10,B3,NA,NA,NA,NA,NA,NA,NA
yagM,12,F12,-1,"yagM,yagL",NA,"yagM,yagL",yagML,NA,1
yagT,13,G9,-1,"paoA,paoB,paoC,paoD",NA,"paoA,paoB,paoC,paoD",paoABCD,NA,1
yagU,13,D1,1,yagU,yagU,NA,NA,NA,1
yagY,12,G1,-1,"ecpB,ecpC,ecpD,ecpE",NA,"ecpB,ecpC,ecpD,ecpE",ecpBCDE,NA,1
yagZ,12,G2,-1,ecpA,ecpA,NA,NA,NA,1
yahB,7,B4,-1,yahB,yahB,NA,NA,NA,1
yahC,13,G10,-1,yahC,yahC,NA,NA,NA,1
yahD,13,D2,1,"yahD,yahE,yahF,yahG",NA,"yahD,yahE,yahF,yahG",yahDEFG,NA,1
yahI,11,F6,1,NA,NA,NA,NA,NA,3
yahK,7,D3,1,yahK,yahK,NA,NA,NA,1
yahM,11,G12,1,yahM,yahM,NA,NA,NA,1
yahN,17,D12,-1,yahN,yahN,NA,NA,NA,1
yahO,17,D4,1,yahO,yahO,NA,NA,NA,1
yaiA,12,H5,1,yaiA,yaiA,NA,NA,yaiA,1
yaiB,18,D8,1,iraP,iraP,NA,NA,NA,1
yaiE,11,F11,1,yaiE,yaiE,NA,NA,NA,1
yaiI,13,H3,1,yaiI,yaiI,NA,NA,NA,1
yaiM,7,B5,-1,frmB,frmB,NA,NA,frmB,1
yaiN,17,G9,-1,"frmR,frmA,frmB",NA,"frmR,frmA,frmB",frmRAB,frmB,1
yaiP,7,B6,-1,yaiP,yaiP,NA,NA,NA,1
yaiW,11,F2,1,yaiW,yaiW,NA,NA,yaiW,1
yaiX,13,E10,-1,"yaiX,yaiO",yaiO,"yaiX,yaiO",yaiXO,NA,1
yaiZ,13,D5,1,yaiZ,yaiZ,NA,NA,NA,1
yajB,10,E7,-1,acpH,acpH,NA,NA,NA,1
yajC,11,E9,1,yajC,yajC,NA,NA,yajC,1
yajG,19,A11,-1,"yajG,ampG",NA,"yajG,ampG",yajG-ampG,NA,1
yajO,13,G4,-1,yajO,yajO,NA,NA,yajO,1
yajR,15,H12,-1,yajR,yajR,NA,NA,NA,1
ybaA,11,G3,1,ybaA,ybaA,NA,NA,NA,1
ybaB,11,G2,1,"ybaB,recR",NA,"ybaB,recR",ybaB-recR,NA,1
ybaD,13,D6,1,"nrdR,ribD,ribE,nusB,thiL,pgpA",NA,"nrdR,ribD,ribE,nusB,thiL,pgpA",nrdR-ribDE-nusB-thiL-pgpA,"ribE,thiL",1
ybaE,15,E10,-1,ybaE,ybaE,NA,NA,NA,1
ybaK,13,G7,-1,ybaK,ybaK,NA,NA,NA,1
ybaL,14,H5,-1,ybaL,ybaL,NA,NA,NA,1
ybaN,11,H3,1,ybaN,ybaN,NA,NA,NA,1
ybaO,7,D4,1,decR,decR,NA,NA,NA,1
ybaP,13,H4,-1,ybaP,ybaP,NA,NA,NA,1
ybaQ,13,D7,1,ybaQ,ybaQ,NA,NA,NA,1
ybaT,11,E10,1,ybaT,ybaT,NA,NA,NA,1
ybaV,11,G7,1,ybaV,ybaV,NA,NA,NA,1
ybaY,8,G7,1,ybaY,ybaY,NA,NA,NA,1
ybbB,18,G12,-1,ybbB,ybbB,NA,NA,NA,1
ybbC,11,F8,1,ybbC,ybbC,NA,NA,ybbC,1
ybbL,14,B4,1,"fetA,fetB",NA,"fetA,fetB",fetAB,NA,1
ybcK,1,G7,1,ybcK,ybcK,NA,NA,NA,1
ybcL,1,G8,1,"ybcL,ybcM",NA,"ybcL,ybcM",ybcLM,NA,1
ybcV,15,B4,-1,ybcV,ybcV,NA,NA,NA,1
ybcW,3,D1,1,ybcW,ybcW,NA,NA,NA,1
ybcY,15,B12,-1,ybcY,ybcY,ybcY,ybcY,NA,1
ybdF,14,D9,-1,ybdF,ybdF,NA,NA,NA,1
ybdG,7,B7,-1,ybdG,ybdG,NA,NA,NA,1
ybdH,6,H3,-1,ybdH,ybdH,NA,NA,NA,1
ybdK,15,C2,-1,ybdK,ybdK,NA,NA,NA,1
ybdL,6,G2,1,ybdL,ybdL,NA,NA,NA,1
ybdN,14,D10,-1,ybdN,ybdN,NA,NA,NA,1
ybdR,14,A7,1,ybdR,ybdR,NA,NA,NA,1
ybeB,12,C8,-1,"rsfS,rlmH,mrdA,mrdB,rlpA",NA,"rsfS,rlmH,mrdA,mrdB,rlpA",rsfS-rlmH-mrdAB-rlpA,NA,1
ybeF,7,B8,-1,ybeF,ybeF,NA,NA,NA,1
ybeL,20,E10,1,ybeL,ybeL,NA,NA,NA,1
ybeQ,14,F11,-1,ybeQ,ybeQ,NA,NA,NA,1
ybeR,14,A8,1,"ybeR,djlB",NA,"ybeR,djlB",ybeR-djlB,NA,1
ybeT,14,F12,-1,ybeT,ybeT,NA,NA,NA,1
ybeU,14,A9,1,"ybeU,djlC",NA,"ybeU,djlC",ybeU-djlC,NA,1
ybeZ,14,C5,-1,"ybeZ,ybeY,ybeX,lnt",NA,"ybeZ,ybeY,ybeX,lnt",ybeZYX-lnt,NA,1
ybfD,12,H7,1,ybfD,ybfD,NA,NA,NA,1
ybfE,12,E8,-1,ybfE,ybfE,NA,NA,NA,1
ybfF,10,E8,-1,ybfF,ybfF,NA,NA,NA,1
ybfG,15,A6,-1,NA,NA,NA,NA,NA,1
ybgA,12,H8,1,"ybgA,phr",NA,"ybgA,phr",ybgA-phr,NA,1
ybgC,12,H11,1,"ybgC,tolQ,tolR,tolA",NA,"ybgC,tolQ,tolR,tolA",ybgC-tolQRA,tolA,1
ybgD,7,C1,-1,ybgD,ybgD,NA,NA,NA,1
ybgE,12,H10,1,NA,NA,NA,NA,NA,1
ybgH,13,A4,-1,dtpD,dtpD,NA,NA,NA,1
ybgI,12,D1,1,"ybgI,ybgJ,ybgK,ybgL,nei",NA,"ybgI,ybgJ,ybgK,ybgL,nei",ybgIJKL-nei,NA,1
ybgQ,7,B11,-1,"ybgQ,ybgP,ybgO",NA,"ybgQ,ybgP,ybgO",ybgQPO,NA,1
ybgS,1,C12,-1,ybgS,ybgS,NA,NA,NA,1
ybhA,14,G1,-1,ybhA,ybhA,NA,NA,NA,1
ybhC,7,C2,-1,ybhC,ybhC,NA,NA,NA,1
ybhD,4,H2,-1,ybhD,ybhD,NA,NA,NA,1
ybhE,14,A11,1,pgl,pgl,NA,NA,NA,1
ybhI,15,B5,1,ybhI,ybhI,NA,NA,NA,1
ybhJ,7,D10,1,ybhJ,ybhJ,NA,NA,NA,1
ybhK,7,G10,-1,ybhK,ybhK,NA,NA,NA,1
ybhL,12,H12,1,NA,NA,NA,NA,NA,0
ybhM,13,C5,1,ybhM,ybhM,NA,NA,NA,1
ybhQ,14,B1,1,ybhQ,ybhQ,NA,NA,NA,1
ybiA,13,B1,-1,ybiA,ybiA,NA,NA,NA,1
ybiF,19,B2,-1,rhtA,rhtA,NA,NA,NA,1
ybiH,6,H4,-1,"cecR,ybhG,ybhF,ybhS,ybhR",NA,"cecR,ybhG,ybhF,ybhS,ybhR",cecR-ybhGFSR,NA,1
ybiJ,15,A8,-1,ybiJ,ybiJ,NA,NA,NA,1
ybiM,14,G2,-1,mcbA,mcbA,NA,NA,NA,1
ybiN,14,B2,1,rlmF,rlmF,NA,NA,NA,1
ybiO,7,C5,-1,ybiO,ybiO,NA,NA,NA,1
ybiS,13,A5,-1,ldtB,ldtB,NA,NA,NA,1
ybiU,15,A10,-1,ybiU,ybiU,NA,NA,NA,1
ybiV,15,A11,-1,ybiV,ybiV,NA,NA,NA,1
ybjC,18,B4,1,"ybjC,nfsA,rimK,ybjN",NA,"ybjC,nfsA,rimK,ybjN",ybjC-nfsA-rimK-ybjN,ybjN,1
ybjE,7,C8,-1,lysO,lysO,NA,NA,NA,1
ybjG,21,A6,-1,ybjG,ybjG,NA,NA,NA,1
ybjH,15,B1,-1,ybjH,ybjH,NA,NA,NA,1
ybjJ,6,H5,-1,"ybjJ,ybjI",NA,"ybjJ,ybjI",ybjJI,NA,1
ybjK,6,G4,1,rcdA,rcdA,NA,NA,NA,1
ybjL,15,E7,-1,ybjL,ybjL,NA,NA,NA,1
ybjM,15,E1,1,ybjM,ybjM,NA,NA,NA,1
ybjN,7,E10,1,ybjN,ybjN,NA,NA,ybjN,1
ybjO,13,C6,1,"ybjO,rlmC",NA,"ybjO,rlmC",ybjO-rlmC,NA,1
ybjP,15,E6,-1,ybjP,ybjP,NA,NA,NA,1
ybjQ,15,D12,1,"ybjQ,amiD",NA,"ybjQ,amiD",ybjQ-amiD,NA,1
ybjS,7,C6,-1,ybjS,ybjS,NA,NA,NA,1
ycaC,16,B12,-1,ycaC,ycaC,NA,NA,NA,1
ycaD,15,G2,1,ycaD,ycaD,NA,NA,NA,1
ycaI,13,C8,1,"ycaI,msbA,lpxK,ycaQ",NA,"ycaI,msbA,lpxK,ycaQ",ycaI-msbA-lpxK-ycaQ,NA,1
ycaK,15,G3,1,ycaK,ycaK,NA,NA,NA,1
ycaL,13,C7,1,ycaL,ycaL,NA,NA,NA,1
ycaN,16,C1,-1,ycaN,ycaN,NA,NA,NA,1
ycaO,16,C2,-1,ycaO,ycaO,NA,NA,NA,1
ycaP,15,G4,1,ycaP,ycaP,NA,NA,NA,1
ycbB,7,E6,1,ldtD,ldtD,NA,NA,NA,1
ycbC,5,E11,-1,elyC,elyC,NA,NA,NA,1
ycbK,13,C9,1,"ycbK,gloC",NA,"ycbK,gloC",ycbK-gloC,NA,1
ycbR,7,E5,1,"elfD,elfC,elfG,ycbU,ycbV,ycbF",NA,"elfD,elfC,elfG,ycbU,ycbV,ycbF",elfDCG-ycbUVF,NA,1
ycbW,13,C11,1,zapC,zapC,NA,NA,NA,1
ycbZ,2,G6,-1,ycbZ,ycbZ,NA,NA,NA,1
yccA,7,C9,-1,yccA,yccA,NA,NA,NA,1
yccE,13,D12,1,yccE,yccE,NA,NA,NA,1
yccF,10,E9,-1,"yccF,yccS",NA,"yccF,yccS",yccFS,NA,1
yccM,15,B3,-1,yccM,yccM,NA,NA,NA,1
yccR,12,E6,1,sxy,sxy,NA,NA,NA,1
ycdC,15,G6,1,rutR,rutR,NA,NA,NA,1
ycdM,16,C4,-1,"rutA,rutB,rutC,rutD,rutE,rutF,rutG",NA,"rutA,rutB,rutC,rutD,rutE,rutF,rutG",rutABCDEFG,NA,1
ycdN,13,C12,1,"efeU_1,efeU_2",NA,"efeU_1,efeU_2",efeU_1U_2,NA,1
ycdO,14,D12,1,"efeO,efeB",NA,"efeO,efeB",efeOB,NA,1
ycdZ,14,E8,1,ycdZ,ycdZ,NA,NA,NA,1
yceF,16,C6,-1,yceF,yceF,NA,NA,NA,1
yceK,14,E10,1,yceK,yceK,NA,NA,NA,1
yceP,15,D5,-1,bssS,bssS,NA,NA,NA,1
ycfD,15,D8,-1,roxA,roxA,NA,NA,NA,1
ycfJ,14,E11,1,ycfJ,ycfJ,NA,NA,NA,1
ycfQ,16,C7,-1,comR,comR,NA,NA,NA,1
ycfR,15,G9,1,bhsA,bhsA,NA,NA,NA,1
ycfS,15,D7,-1,ldtC,ldtC,NA,NA,NA,1
ycfT,14,G8,-1,ycfT,ycfT,NA,NA,NA,1
ycgE,7,D1,-1,bluR,bluR,NA,NA,NA,1
ycgF,10,F6,-1,bluF,bluF,NA,NA,NA,1
ycgH,14,E12,1,ycgH_2,ycgH_2,NA,NA,NA,1
ycgI,15,G11,1,"ymgH,ycgI,ymgJ","ycgI,ymgJ","ymgH,ycgI",ymgH-ycgI,NA,1
ycgJ,12,D3,1,ycgJ,ycgJ,NA,NA,NA,1
ycgK,13,A8,-1,pliG,pliG,NA,NA,NA,1
ycgL,12,D4,1,ycgL,ycgL,ycgL,ycgL,NA,1
ycgM,7,E3,1,ycgM,ycgM,NA,NA,NA,1
ycgN,14,F1,1,ycgN,ycgN,NA,NA,NA,1
ycgR,16,C12,-1,ycgR,ycgR,NA,NA,NA,1
ycgX,15,D9,-1,ycgX,ycgX,NA,NA,NA,1
ycgY,14,F2,1,ycgY,ycgY,NA,NA,NA,1
ychF,17,E12,-1,ychF,ychF,NA,NA,ychF,1
ychH,11,H5,1,ychH,ychH,NA,NA,NA,1
ychJ,16,F11,-1,ychJ,ychJ,NA,NA,NA,1
ychM,17,A4,-1,dauA,dauA,NA,NA,NA,1
yciA,15,D11,-1,yciA,yciA,NA,NA,NA,1
yciC,16,F12,-1,"yciC,yciB",NA,"yciC,yciB",yciCB,NA,1
yciG,12,E9,-1,"yciG,yciF,yciE",NA,"yciG,yciF,yciE",yciGFE,NA,1
yciI,16,G4,-1,yciI,yciI,NA,NA,NA,1
yciK,3,E3,-1,"yciK,btuR",NA,"yciK,btuR",yciK-btuR,NA,1
yciS,14,F6,1,"lapA,lapB,pyrF,yciH",NA,"lapA,lapB,pyrF,yciH",lapAB-pyrF-yciH,NA,1
yciT,17,H6,-1,"yciZ,yciT",NA,"yciZ,yciT",yciZT,NA,1
yciW,17,F2,-1,yciW,yciW,NA,NA,NA,1
ycjG,13,E1,1,ycjG,ycjG,NA,NA,NA,1
ycjK,2,G12,-1,"puuA,puuP",NA,"puuA,puuP",puuAP,NA,1
ycjL,3,A1,1,"puuD,puuR,puuC,puuB,puuE",NA,"puuD,puuR,puuC,puuB,puuE",puuDRCBE,puuC,1
ycjM,7,E4,1,"ycjM,ycjN,ycjO,ycjP,ycjQ,ycjR,ycjS,ycjT,ycjU,ycjV,ymjB",NA,"ycjM,ycjN,ycjO,ycjP,ycjQ,ycjR,ycjS,ycjT,ycjU,ycjV,ymjB",ycjMNOPQRSTUV-ymjB,NA,1
ycjW,2,H2,-1,ycjW,ycjW,NA,NA,NA,1
ycjX,3,A2,1,"ycjX,ycjF,tyrR",NA,"ycjX,ycjF,tyrR",ycjXF-tyrR,NA,1
ycjY,16,G1,-1,"ycjY,ymjD,ymjC,mpaA",NA,"ycjY,ymjD,ymjC,mpaA",ycjY-ymjDC-mpaA,NA,1
ycjZ,16,E1,1,pgrR,pgrR,NA,NA,NA,1
ydaG,16,B6,-1,"ydaG,ydaF",NA,"ydaG,ydaF",ydaGF,NA,1
ydaO,16,B5,-1,ttcA,ttcA,NA,NA,NA,1
