UAL_promoter,Plate,Well,Strand,Reports_genes,Gene,Operon,Operon_name,Duplicated_reporting,Amplicons
ydiV,17,B1,-1,ydiV,ydiV,NA,NA,NA,1
ydiY,2,B6,-1,ydiY,ydiY,NA,NA,NA,1
ydjA,13,B3,-1,"ydjA,selD,topB",NA,"ydjA,selD,topB",ydjA-selD-topB,selD,1
ydjE,16,A4,-1,NA,NA,NA,NA,NA,1
ydjF,17,G3,-1,ydjF,ydjF,NA,NA,NA,1
ydjL,17,G4,-1,"ydjL,ydjK,ydjJ,ydjI,ydjH,ydjG",NA,"ydjL,ydjK,ydjJ,ydjI,ydjH,ydjG",ydjLKJIHG,NA,1
ydjN,6,E5,1,tcyP,tcyP,NA,NA,NA,1
ydjX,16,E10,1,"ydjX,ydjY,ydjZ,ynjA,ynjB,ynjC,ynjD",NA,"ydjX,ydjY,ydjZ,ynjA,ynjB,ynjC,ynjD",ydjXYZ-ynjABCD,NA,1
yeaE,17,B2,-1,yeaE,yeaE,NA,NA,NA,1
yeaH,20,H11,1,yeaH,yeaH,NA,NA,NA,1
yeaL,10,F9,1,yeaL,yeaL,NA,NA,NA,1
yeaM,2,H6,-1,nimR,nimR,NA,NA,NA,1
yeaP,10,F11,1,dgcP,dgcP,NA,NA,NA,1
yeaS,11,B5,-1,leuE,leuE,NA,NA,NA,1
yeaT,2,H7,-1,dmlR,dmlR,NA,NA,NA,1
yeaU,3,A6,1,dmlA,dmlA,NA,NA,NA,1
yeaV,15,B9,1,"yeaV,yeaW",NA,"yeaV,yeaW",yeaVW,NA,1
yeaX,5,A3,1,yeaX,yeaX,NA,NA,NA,1
yeaZ,11,B6,-1,"tsaB,yeaY",NA,"tsaB,yeaY",tsaB-yeaY,NA,1
yebA,16,D7,-1,mepM,mepM,NA,NA,NA,1
yebB,20,A9,1,yebB,yebB,NA,NA,NA,1
yebE,11,B9,-1,yebE,yebE,NA,NA,NA,1
yebF,21,A8,-1,yebF,yebF,NA,NA,NA,1
yebF,5,G11,-1,yebF,yebF,NA,NA,NA,1
yebG,13,B4,-1,yebG,yebG,NA,NA,NA,1
yebO,11,B8,-1,yebO,yebO,NA,NA,NA,1
yebQ,15,H5,1,yebQ,yebQ,NA,NA,NA,1
yebR,4,F11,-1,msrC,msrC,NA,NA,NA,1
yebS,10,G1,1,"yebS,yebT",NA,"yebS,yebT",yebST,NA,1
yebU,5,A4,1,rsmF,rsmF,NA,NA,NA,1
yecF,20,G10,1,yecF,yecF,NA,NA,NA,1
yecH,17,D11,-1,yecH,yecH,NA,NA,NA,1
yecM,10,E10,-1,"yecM,cutC",NA,"yecM,cutC",yecM-cutC,NA,1
yedP,18,D11,1,yedP,yedP,NA,NA,NA,1
yedQ,4,E11,-1,dgcQ,dgcQ,NA,NA,NA,1
yedW,2,H8,-1,"yedW,yedV",NA,"yedW,yedV",yedWV,NA,1
yedX,3,A7,1,yedX,yedX,NA,NA,NA,1
yedY,5,A6,1,"msrP,msrQ",NA,"msrP,msrQ",msrPQ,NA,1
yeeA,4,F1,-1,yeeA,yeeA,NA,NA,NA,1
yeeE,17,G11,-1,"yeeE,yeeD",NA,"yeeE,yeeD",yeeED,NA,1
yeeI,8,A9,1,mtfA,mtfA,NA,NA,NA,1
yeeJ,5,B7,1,asnT,asnT,NA,NA,NA,1
yeeO,8,F8,-1,yeeO,yeeO,NA,NA,NA,1
yeeR,17,B6,1,"yeeR,yeeS,yeeT,cbeA,cbtA,yeeW",NA,"yeeR,yeeS,yeeT,cbeA,cbtA,yeeW",yeeRST-cbeA-cbtA-yeeW,"cbeA,cbtA",1
yeeU,5,B8,1,cbeA,cbeA,NA,NA,cbeA,1
yeeV,17,B7,1,cbtA,cbtA,NA,NA,cbtA,1
yeeX,17,G10,-1,yeeX,yeeX,NA,NA,NA,1
yegE,6,G8,1,dgcE,dgcE,NA,NA,NA,1
yegP,17,B8,1,yegP,yegP,NA,NA,NA,1
yegT,1,H12,1,"yegT,yegU,yegV",NA,"yegT,yegU,yegV",yegTUV,NA,1
yegW,17,H2,-1,yegW,yegW,NA,NA,NA,1
yehD,17,H3,-1,"yehD,yehC,yehB,yehA",NA,"yehD,yehC,yehB,yehA",yehDCBA,NA,1
yehS,12,B10,-1,yehS,yehS,NA,NA,NA,1
yehZ,17,H4,-1,"osmF,yehY,yehX,yehW",NA,"osmF,yehY,yehX,yehW",osmF-yehYXW,NA,1
yeiC,17,H5,-1,"psuK,psuG",NA,"psuK,psuG",psuKG,NA,1
yeiE,10,E2,-1,yeiE,yeiE,NA,NA,NA,1
yeiG,7,G4,1,yeiG,yeiG,NA,NA,NA,1
yeiM,14,H10,-1,psuT,psuT,NA,NA,NA,1
yeiP,5,B10,1,yeiP,yeiP,NA,NA,NA,1
yeiT,5,B9,1,"preT,preA",NA,"preT,preA",preTA,NA,1
yejA,15,B10,1,"yejA,yejB,yejE,yejF",NA,"yejA,yejB,yejE,yejF",yejABEF,NA,1
yejG,4,F2,-1,yejG,yejG,NA,NA,NA,1
yejH,8,A11,1,radD,radD,NA,NA,NA,1
yejK,10,E12,-1,yejK,yejK,NA,NA,NA,1
yejL,10,A5,1,"yejL,yejM",NA,"yejL,yejM",yejLM,NA,1
yejO,10,E3,-1,yejO,yejO,NA,NA,NA,1
yfaD,17,B9,1,"yfaD,ypaA",NA,"yfaD,ypaA",yfaD-ypaA,NA,1
yfaL,18,C4,-1,yfaL,yfaL,NA,NA,NA,1
yfaY,10,H4,-1,yfaY,yfaY,NA,NA,NA,1
yfbE,11,H6,1,"arnB,arnC,arnA,arnD,arnT,arnE,arnF",arnB,"arnB,arnC,arnA,arnD,arnT,arnE,arnF",arnBCADTEF,arnE,1
yfbJ,5,C2,1,arnE,arnE,NA,NA,arnE,1
yfbM,21,A2,1,yfbM,yfbM,NA,NA,NA,1
yfbR,5,C5,1,yfbR,yfbR,NA,NA,NA,1
yfbS,6,B9,-1,yfbS,yfbS,NA,NA,NA,1
yfbU,10,H6,-1,"yfbU,yfbT",NA,"yfbU,yfbT",yfbUT,NA,1
yfbV,4,B5,-1,yfbV,yfbV,NA,NA,NA,1
yfcC,5,C6,1,yfcC,yfcC,NA,NA,NA,1
yfcD,10,H7,-1,yfcD,yfcD,NA,NA,NA,1
yfcE,10,H8,-1,yfcE,yfcE,NA,NA,NA,1
yfcG,9,F12,1,yfcG,yfcG,NA,NA,NA,1
yfcI,10,H9,-1,yfcI,yfcI,NA,NA,NA,1
yfcJ,16,A5,-1,yfcJ,yfcJ,NA,NA,NA,1
yfcU,6,B12,-1,"yfcU,yfcT,yfcS,yfcR,yfcQ,yfcP,yfcO",NA,"yfcU,yfcT,yfcS,yfcR,yfcQ,yfcP,yfcO",yfcUTSRQPO,NA,1
yfcV,6,C1,-1,yfcV,yfcV,NA,NA,NA,1
yfdC,8,G9,1,yfdC,yfdC,NA,NA,NA,1
yfdG,17,B10,1,"yfdG,yfdH,yfdI",NA,"yfdG,yfdH,yfdI",yfdGHI,NA,1
yfdL,6,C4,-1,NA,NA,NA,NA,NA,1
yfdQ,17,B11,1,yfdQ,yfdQ,NA,NA,NA,1
yfdU,6,C6,-1,NA,NA,NA,NA,NA,1
yfdV,6,C5,-1,yfdV,yfdV,NA,NA,NA,1
yfdZ,3,E4,-1,alaC,alaC,NA,NA,NA,1
yfeA,10,H11,-1,NA,NA,NA,NA,NA,2
yfeC,8,B1,1,NA,NA,NA,NA,NA,2
yfeK,18,B6,1,"yfeK,yfeS",NA,"yfeK,yfeS",yfeKS,NA,1
yfeN,6,G9,1,yfeN,yfeN,NA,NA,NA,1
yfeY,10,C12,-1,"yfeY,yfeX",NA,"yfeY,yfeX",yfeYX,NA,1
yffH,10,D3,-1,nudK,nudK,NA,NA,NA,1
yffS,17,B12,1,yffS,yffS,NA,NA,NA,1
yfgA,6,C12,-1,rodZ,rodZ,NA,NA,NA,1
yfgB,10,D7,-1,rlmN,rlmN,NA,NA,NA,1
yfgH,17,C1,1,"yfgH,yfgI",NA,"yfgH,yfgI",yfgHI,NA,1
yfhB,14,G11,-1,"pgpC,tadA",NA,"pgpC,tadA",pgpC-tadA,NA,1
yfhG,6,D3,-1,yfhG,yfhG,NA,NA,NA,1
yfhH,14,B10,1,yfhH,yfhH,NA,NA,NA,1
yfhK,6,D4,-1,"glmY,glrK","glmY,glrK",NA,NA,NA,1
yfhL,17,C4,1,yfhL,yfhL,NA,NA,NA,1
yfhM,19,C11,-1,"yfhM,pbpC",NA,"yfhM,pbpC",yfhM-pbpC,NA,1
yfhR,17,C2,1,yfhR,yfhR,NA,NA,NA,1
yfiC,8,F12,-1,yfiC,yfiC,NA,NA,NA,1
yfiE,13,B5,-1,yfiE,yfiE,NA,NA,NA,1
yfiF,8,G1,-1,yfiF,yfiF,NA,NA,NA,1
yfjG,19,D1,-1,"ratA,ratB",NA,"ratA,ratB",ratAB,NA,1
yfjI,17,C6,1,yfjI,yfjI,NA,NA,NA,1
yfjL,10,D10,-1,"abpA,abpB",NA,"abpA,abpB",abpAB,NA,1
yfjM,11,E4,-1,yfjM,yfjM,NA,NA,NA,1
yfjN,11,A1,1,"rnlA,rnlB",NA,"rnlA,rnlB",rnlAB,NA,1
yfjP,5,D1,1,"yfjP,yfjQ",NA,"yfjP,yfjQ",yfjPQ,NA,1
yfjR,5,D2,1,"yfjR,ypjK,yfjS,yfjT",NA,"yfjR,ypjK,yfjS,yfjT",yfjR-ypjK-yfjST,NA,1
yfjW,19,D11,1,yfjW,yfjW,NA,NA,NA,1
ygaD,10,A10,1,NA,NA,NA,NA,NA,1
ygaQ,19,E1,1,ygaQ,ygaQ,NA,NA,NA,1
ygaV,19,E2,1,"ygaV,ygaP",NA,"ygaV,ygaP",ygaVP,NA,1
ygaZ,11,A8,1,"ygaZ,ygaH",NA,"ygaZ,ygaH",ygaZH,NA,1
ygbA,13,B6,-1,ygbA,ygbA,NA,NA,NA,1
ygbI,4,A10,-1,ygbI,ygbI,NA,NA,NA,1
ygbJ,3,E11,1,"ygbJ,ygbK",NA,"ygbJ,ygbK",ygbJK,NA,1
ygbN,16,A10,1,ygbN,ygbN,NA,NA,NA,1
ygcB,10,A11,-1,cas3,cas3,NA,NA,NA,1
ygcF,19,D5,-1,queE,queE,NA,NA,NA,1
ygcU,6,D9,-1,NA,NA,NA,NA,NA,1
ygcW,19,D4,-1,ygcW,ygcW,NA,NA,NA,1
ygdI,19,D6,-1,ygdI,ygdI,NA,NA,NA,1
ygdL,6,D10,-1,tcdA,tcdA,NA,NA,NA,1
ygdQ,5,D4,1,ygdQ,ygdQ,NA,NA,NA,1
ygdR,11,A9,1,ygdR,ygdR,NA,NA,NA,1
ygeA,13,F1,-1,ygeA,ygeA,NA,NA,ygeA,1
ygeF,19,E5,1,ygeF,ygeF,NA,NA,NA,1
ygeG,11,A11,1,ygeG,ygeG,NA,NA,NA,1
ygeH,5,D6,NA,NA,NA,NA,NA,NA,NA
ygeI,11,B1,1,ygeI,ygeI,NA,NA,NA,1
ygeQ,10,B2,-1,ygeQ,ygeQ,NA,NA,NA,1
ygeR,14,G6,-1,ygeR,ygeR,NA,NA,NA,1
ygeX,8,C9,1,ygeX,ygeX,NA,NA,NA,1
ygeY,5,D7,1,ygeY,ygeY,NA,NA,NA,1
ygfF,6,D12,-1,ygfF,ygfF,NA,NA,NA,1
ygfI,6,E1,-1,NA,NA,NA,NA,NA,0
ygfU,16,H2,1,uacT,uacT,NA,NA,NA,1
yggD,12,B7,-1,yggD,yggD,NA,NA,NA,1
yggE,6,E2,-1,yggE,yggE,NA,NA,NA,1
yggG,1,H9,1,NA,NA,NA,NA,NA,0
yggH,13,B8,-1,"trmI,yggL",NA,"trmI,yggL",trmI-yggL,NA,1
yggM,6,E4,-1,yggM,yggM,NA,NA,NA,1
yghU,6,G11,1,NA,NA,NA,NA,NA,0
ygiD,9,D11,-1,ygiD,ygiD,ygiD,ygiD,NA,1
ygiF,9,D12,-1,"ygiF,glnE",NA,"ygiF,glnE",ygiF-glnE,NA,1
ygiH,5,E2,1,ygiH,ygiH,NA,NA,NA,1
ygiL,5,D8,1,ygiL,ygiL,NA,NA,NA,1
ygiP,4,B7,-1,ttdR,ttdR,NA,NA,NA,1
ygiR,4,F5,-1,ygiQ,ygiQ,NA,NA,NA,1
ygiS,12,F2,-1,ygiS,ygiS,NA,NA,NA,1
ygiU,9,G9,-1,"mqsR,mqsA",NA,"mqsR,mqsA",mqsRA,NA,1
ygiW,9,D9,-1,ygiW,ygiW,NA,NA,NA,1
ygiZ,9,D10,-1,ygiZ,ygiZ,NA,NA,NA,1
ygjD,20,A2,-1,tsaD,tsaD,NA,NA,NA,1
ygjG,1,B10,1,patA,patA,NA,NA,NA,1
ygjH,2,G9,-1,ygjH,ygjH,NA,NA,NA,1
ygjI,17,B4,1,ygjI,ygjI,NA,NA,NA,1
ygjJ,9,C9,1,"ygjJ,ygjK",NA,"ygjJ,ygjK",ygjJK,NA,1
ygjN,9,B6,-1,"higB,higA",NA,"higB,higA",higBA,NA,1
ygjO,5,H12,-1,rlmG,rlmG,NA,NA,NA,1
ygjQ,9,C11,1,ygjQ,ygjQ,NA,NA,NA,1
ygjR,9,C12,1,ygjR,ygjR,NA,NA,NA,1
ygjV,9,B7,-1,ygjV,ygjV,NA,NA,NA,1
yhaH,2,F5,1,yhaH,yhaH,NA,NA,NA,1
yhaJ,8,E6,-1,yhaJ,yhaJ,NA,NA,NA,1
yhaK,7,H8,1,"yhaK,yhaL",NA,"yhaK,yhaL",yhaKL,NA,1
yhaM,9,B8,-1,NA,NA,NA,NA,NA,0
yhbC,9,B9,-1,rimP,rimP,NA,NA,NA,1
yhbE,9,C1,-1,yhbE,yhbE,NA,NA,NA,1
yhbO,7,H12,1,yhbO,yhbO,NA,NA,NA,1
yhbP,8,E11,-1,yhbP,yhbP,NA,NA,NA,1
yhbQ,8,A1,1,yhbQ,yhbQ,NA,NA,NA,1
yhbT,8,E12,-1,"yhbT,yhbS",NA,"yhbT,yhbS",yhbTS,NA,1
yhbU,8,A2,1,"yhbU,yhbV",NA,"yhbU,yhbV",yhbUV,NA,1
yhbW,3,C1,1,yhbW,yhbW,NA,NA,NA,1
yhbX,9,B12,-1,yhbX,yhbX,NA,NA,NA,1
yhcA,3,C9,1,"yhcA,yhcD,ychE_1",NA,"yhcA,yhcD,ychE_1",yhcAD-ychE_1,NA,1
yhcB,7,H10,1,yhcB,yhcB,NA,NA,NA,1
yhcF,6,A4,1,"ychE_2,yhcF",yhcF,"ychE_2,yhcF",ychE_2-yhcF,NA,1
yhcG,3,C11,1,yhcG,yhcG,NA,NA,NA,1
yhcM,8,E8,-1,zapE,zapE,NA,NA,NA,1
yhcO,9,C2,-1,yhcO,yhcO,NA,NA,NA,1
yhdA,8,E7,-1,csrD,csrD,NA,NA,NA,1
yhdH,7,H9,1,yhdH,yhdH,NA,NA,NA,1
yhdJ,18,A1,1,yhdJ,yhdJ,NA,NA,NA,1
yhdN,9,C5,-1,"yhdN,zntR",NA,"yhdN,zntR",yhdN-zntR,NA,1
yhdX,14,E4,1,yhdX,yhdX,NA,NA,NA,1
yhdY,14,E5,1,yhdY,yhdY,NA,NA,NA,1
yheO,9,C7,-1,"yheO,tusD,tusC,tusB",NA,"yheO,tusD,tusC,tusB",yheO-tusDCB,NA,1
yheS,14,B12,1,"yheS,yheT,yheU",NA,"yheS,yheT,yheU",yheSTU,NA,1
yhfA,2,B9,-1,yhfA,yhfA,NA,NA,NA,1
yhfG,9,C8,-1,"yhfG,fic,pabA",NA,"yhfG,fic,pabA",yhfG-fic-pabA,NA,1
yhfK,3,C4,1,yhfK,yhfK,NA,NA,NA,1
yhfL,3,C5,1,yhfL,yhfL,NA,NA,NA,1
yhfP,3,C6,1,NA,NA,NA,NA,NA,1
yhfX,4,D4,-1,"yhfX,yhfW,php,yhfU,yhfT,yhfS",NA,"yhfX,yhfW,php,yhfU,yhfT,yhfS",yhfXW-php-yhfUTS,NA,1
yhfZ,4,D5,-1,"yhfZ,yhfY",NA,"yhfZ,yhfY",yhfZY,NA,1
yhgA,3,C7,1,yhgA,yhgA,NA,NA,NA,1
yhgE,11,H10,-1,yhgE,yhgE,NA,NA,NA,1
yhgF,4,E4,1,yhgF,yhgF,NA,NA,NA,1
yhgN,18,B10,1,yhgN,yhgN,NA,NA,NA,1
yhhF,4,H10,1,"rsmD,yhhL",NA,"rsmD,yhhL",rsmD-yhhL,NA,1
yhhM,4,A7,-1,yhhM,yhhM,NA,NA,NA,1
yhhN,3,E8,1,yhhN,yhhN,NA,NA,NA,1
yhhQ,3,E9,1,yhhQ,yhhQ,NA,NA,NA,1
yhhT,16,E5,1,yhhT,yhhT,NA,NA,NA,1
yhhW,4,D7,-1,yhhW,yhhW,NA,NA,NA,1
yhhY,3,E7,1,yhhY,yhhY,NA,NA,NA,1
yhhZ,3,G10,1,"yhhZ,yrhA,insA-6,insAB-6,insB-6",NA,"yhhZ,yrhA,insA-6,insAB-6,insB-6",yhhZ-yrhA-insA-6AB-6B-6,NA,1
yhiD,4,C9,-1,yhiD,yhiD,NA,NA,yhiD,1
yhiI,5,A1,-1,"yhiI,rbbA,yhhJ",NA,"yhiI,rbbA,yhhJ",yhiI-rbbA-yhhJ,NA,1
yhiJ,5,A2,-1,yhiJ,yhiJ,NA,NA,NA,1
yhiL,19,A1,NA,NA,NA,NA,NA,NA,NA
yhiP,3,G11,1,dtpB,dtpB,NA,NA,NA,1
yhiR,10,G9,1,rlmJ,rlmJ,NA,NA,NA,1
yhjB,19,A3,-1,yhjB,yhjB,NA,NA,NA,1
yhjC,18,C12,1,yhjC,yhjC,NA,NA,NA,1
yhjG,2,D12,-1,yhjG,yhjG,NA,NA,NA,1
yhjJ,2,E1,-1,yhjJ,yhjJ,NA,NA,NA,1
yhjK,2,E2,-1,pdeK,pdeK,NA,NA,NA,1
yhjR,19,A4,-1,yhjR,yhjR,NA,NA,NA,1
yhjX,13,F4,-1,yhjX,yhjX,NA,NA,NA,1
yhjY,9,H8,-1,yhjY,yhjY,NA,NA,NA,1
yiaD,7,G6,1,yiaD,yiaD,NA,NA,NA,1
yiaF,19,A5,-1,yiaF,yiaF,NA,NA,NA,1
yiaG,18,D2,1,yiaG,yiaG,NA,NA,NA,1
yiaJ,19,A6,-1,yiaJ,yiaJ,NA,NA,NA,1
yiaT,19,A7,-1,yiaT,yiaT,NA,NA,NA,1
yiaU,18,D3,1,yiaU,yiaU,NA,NA,NA,1
yiaW,2,E5,-1,"yiaW,yiaV",NA,"yiaW,yiaV",yiaWV,NA,1
yibF,18,B1,-1,yibF,yibF,NA,NA,NA,1
yibK,8,B8,1,trmL,trmL,NA,NA,NA,1
yibL,5,H4,1,yibL,yibL,NA,NA,NA,1
yicC,10,G11,1,yicC,yicC,NA,NA,NA,1
yicH,5,H5,1,yicH,yicH,NA,NA,NA,1
yidC,18,E12,1,NA,NA,NA,NA,NA,1
yidE,2,E6,-1,yidE,yidE,NA,NA,NA,1
yidH,19,A10,-1,"yidH,yidG,yidF",NA,"yidH,yidG,yidF",yidHGF,NA,1
yidI,18,D7,1,yidI,yidI,NA,NA,NA,1
yidK,19,A8,-1,"yidK,yidJ",NA,"yidK,yidJ",yidKJ,NA,1
yidL,18,D5,1,yidL,yidL,NA,NA,NA,1
yidR,19,A9,-1,yidR,yidR,NA,NA,NA,1
yidS,18,D6,1,cbrA,cbrA,NA,NA,NA,1
yidX,19,G10,1,yidX,yidX,NA,NA,NA,1
yieE,5,H6,1,"yieE,yieF",NA,"yieE,yieF",yieEF,NA,1
yieG,19,H8,-1,adeP,adeP,NA,NA,NA,1
yieH,19,G11,1,yieH,yieH,NA,NA,NA,1
yifB,1,D6,-1,yifB,yifB,NA,NA,NA,1
yifE,8,H5,1,yifE,yifE,NA,NA,NA,1
yifM_2,5,B1,1,wzyE,wzyE,NA,NA,wzyE,1
yigI,7,A1,-1,yigI,yigI,NA,NA,NA,1
yihD,7,G7,1,yihD,yihD,NA,NA,NA,1
yihL,5,H7,1,"yihL,yihM",NA,"yihL,yihM",yihLM,NA,1
yihN,12,B11,1,yihN,yihN,NA,NA,NA,1
yihR,2,E7,-1,yihR,yihR,NA,NA,NA,1
yihU,19,H9,-1,"yihU,yihT,yihS",NA,"yihU,yihT,yihS",yihUTS,NA,1
yihX,5,H8,1,"yihX,yihY,dtd,yiiD",NA,"yihX,yihY,dtd,yiiD",yihXY-dtd-yiiD,NA,1
yiiF,5,C11,1,yiiF,yiiF,NA,NA,NA,1
yiiP,15,C1,1,fieF,fieF,NA,NA,NA,1
yiiQ,19,H10,-1,yiiQ,yiiQ,NA,NA,NA,1
yiiR,19,H2,1,yiiR,yiiR,NA,NA,NA,1
yiiU,20,F5,1,zapB,zapB,NA,NA,NA,1
yijF,2,E9,-1,yijF,yijF,NA,NA,NA,1
yijO,2,E10,-1,yijO,yijO,NA,NA,NA,1
yjaB,1,D11,-1,yjaB,yjaB,NA,NA,NA,1
yjaH,11,E12,1,yjaH,yjaH,NA,NA,NA,1
yjbB,18,F4,1,yjbB,yjbB,NA,NA,NA,1
yjbE,18,F5,1,"yjbE,yjbF,yjbG,yjbH",NA,"yjbE,yjbF,yjbG,yjbH",yjbEFGH,NA,1
yjbF,18,F6,1,NA,NA,NA,NA,NA,0
yjbI,18,F9,1,yjbI,yjbI,yjbI,yjbI,NA,1
yjbJ,18,F8,1,yjbJ,yjbJ,NA,NA,NA,1
yjbQ,18,F12,1,"yjbQ,yjbR",NA,"yjbQ,yjbR",yjbQR,NA,1
yjcD,18,G1,1,ghxP,ghxP,NA,NA,NA,1
yjcE,15,C4,1,yjcE,yjcE,NA,NA,NA,1
yjcH,3,B5,-1,yjcH,yjcH,NA,NA,NA,1
yjcO,3,B6,-1,yjcO,yjcO,NA,NA,NA,1
yjdB,3,B10,-1,eptA,eptA,NA,NA,NA,1
yjdF,3,B12,-1,yjdF,yjdF,NA,NA,NA,1
yjdI,3,G1,1,"yjdI,yjdJ",NA,"yjdI,yjdJ",yjdIJ,NA,1
yjdK,18,G2,1,"ghoS,ghoT",NA,"ghoS,ghoT",ghoST,NA,1
yjeB,18,G6,1,"nsrR,rnr,rlmB,yjfI,yjfJ",NA,"nsrR,rnr,rlmB,yjfI,yjfJ",nsrR-rnr-rlmB-yjfIJ,"rlmB,yjfI",1
yjeI,18,G3,1,yjeI,yjeI,NA,NA,NA,1
yjeK,9,F5,-1,epmB,epmB,NA,NA,NA,1
yjeN,18,G4,1,"yjeN,yjeO",NA,"yjeN,yjeO",yjeNO,NA,1
yjfI,18,G7,1,yjfI,yjfI,NA,NA,yjfI,1
yjfK,18,G8,1,"yjfK,yjfL,yjfM,yjfC",NA,"yjfK,yjfL,yjfM,yjfC",yjfKLMC,NA,1
yjfQ,3,H2,-1,ulaR,ulaR,NA,NA,NA,1
yjfY,20,A3,-1,yjfY,yjfY,NA,NA,NA,1
yjgA,9,F8,-1,NA,NA,NA,NA,NA,1
yjgH,3,H6,-1,yjgH,yjgH,NA,NA,NA,1
yjgJ,18,G10,1,NA,NA,NA,NA,NA,1
yjgR,3,H7,-1,yjgR,yjgR,NA,NA,NA,1
yjhF,16,A7,-1,NA,NA,NA,NA,NA,1
yjhI,5,G3,-1,"yjhI,yjhH,yjhG",NA,"yjhI,yjhH,yjhG",yjhIHG,NA,1
yjhS,5,G5,-1,nanS,nanS,NA,NA,NA,1
yjhU,3,H8,-1,yjhU,yjhU,NA,NA,NA,1
yjiA,19,E7,-1,yjiA,yjiA,NA,NA,yjiA,1
yjiH,5,F6,-1,"yjiH,yjiG,iadA",NA,"yjiH,yjiG,iadA",yjiHG-iadA,NA,1
yjiJ,19,E9,-1,yjiJ,yjiJ,NA,NA,NA,1
yjiM,19,E6,-1,"yjiM,yjiL",NA,"yjiM,yjiL",yjiML,NA,1
yjiT,3,A9,1,yjiT,yjiT,NA,NA,NA,1
yjiW,12,F8,-1,symE,symE,NA,NA,NA,1
yjiX,19,E8,-1,"yjiX,yjiA",NA,"yjiX,yjiA",yjiXA,yjiA,1
yjiY,12,A6,-1,yjiY,yjiY,NA,NA,NA,1
yjjI,5,F7,-1,yjjI,yjjI,NA,NA,NA,1
yjjJ,11,D5,1,yjjJ,yjjJ,NA,NA,NA,1
yjjK,14,H3,-1,ettA,ettA,NA,NA,NA,1
yjjL,19,E10,-1,lgoT,lgoT,NA,NA,NA,1
yjjU,3,C2,1,"yjjU,yjjV,ytjA",ytjA,"yjjU,yjjV",yjjUV,yjjV,1
yjjV,11,C6,1,yjjV,yjjV,NA,NA,yjjV,1
yjjY,20,B10,1,yjjY,yjjY,NA,NA,NA,1
ykfA,8,D2,-1,"ykfA,yafZ",NA,"ykfA,yafZ",ykfA-yafZ,yafZ,1
ykfG,2,H12,-1,ykfG,ykfG,NA,NA,NA,1
ykfI,1,H8,-1,ykfI,ykfI,NA,NA,NA,1
ykfJ,11,G11,1,"ykfJ,prfH",ykfJ,"ykfJ,prfH",ykfJ-prfH,NA,1
ykgC,5,E9,-1,"rclA,rclB,rclC",NA,"rclA,rclB,rclC",rclABC,rclB,1
ykgD,5,D10,1,rclR,rclR,NA,NA,NA,1
ykgE,7,D2,1,"ykgE,ykgF,ykgG",NA,"ykgE,ykgF,ykgG",ykgEFG,ykgF,1
ykgF,11,E8,1,ykgF,ykgF,NA,NA,ykgF,1
ykgH,12,F9,-1,ykgH,ykgH,NA,NA,NA,1
ykgI,12,G3,-1,rclB,rclB,NA,NA,rclB,1
ykgJ,6,A6,-1,ykgJ,ykgJ,NA,NA,NA,1
ykgM,5,E8,NA,NA,NA,NA,NA,NA,NA
ykiA,11,G10,1,ykiA,ykiA,NA,NA,NA,1
ylaB,13,G5,-1,pdeB,pdeB,NA,NA,NA,1
ylaC,13,G6,-1,ylaC,ylaC,NA,NA,NA,1
ylbE,1,G4,1,ylbE,ylbE,NA,NA,ylbE,1
ylbF,1,G5,1,NA,NA,NA,NA,NA,0
ylbG,13,G8,-1,ylbG,ylbG,NA,NA,NA,1
ylcE,3,F4,1,tfaX,tfaX,tfaX,tfaX,NA,1
yliE,15,C9,1,"pdeI,dgcI",NA,"pdeI,dgcI",pdeI-dgcI,NA,1
yliG,15,E8,-1,rimO,rimO,NA,NA,NA,1
yliI,7,E9,1,yliI,yliI,NA,NA,NA,1
ymcC,15,B2,-1,"gfcB,gfcC,gfcD",NA,"gfcB,gfcC,gfcD",gfcBCD,NA,1
ymcE,7,D12,1,"ymcE,gnsA",NA,"ymcE,gnsA",ymcE-gnsA,NA,1
ymdB,14,E9,1,"ymdB,clsC",NA,"ymdB,clsC",ymdB-clsC,NA,1
ymdE,15,G7,1,ymdE,ymdE,NA,NA,NA,1
ymfE,13,A6,-1,"ymfE,ymfD",NA,"ymfE,ymfD",ymfED,NA,1
ymfI,15,G10,1,ymfI,ymfI,NA,NA,NA,1
ymgC,9,H5,NA,NA,NA,NA,NA,NA,NA
ymgE,15,G12,1,ymgE,ymgE,NA,NA,NA,1
ymjA,16,B3,-1,ymjA,ymjA,NA,NA,NA,1
ynaI,15,F1,-1,ynaI,ynaI,NA,NA,NA,1
ynbA,17,H9,1,"ynbA,ynbB,ynbC,ynbD",NA,"ynbA,ynbB,ynbC,ynbD",ynbABCD,NA,1
yncA,17,D6,-1,"mnaT,ydcZ",NA,"mnaT,ydcZ",mnaT-ydcZ,NA,1
yncB,17,C9,1,curA,curA,NA,NA,NA,1
yncC,6,E11,1,mcbR,mcbR,NA,NA,NA,1
yncD,2,H3,-1,yncD,yncD,NA,NA,NA,1
yncE,3,A3,1,yncE,yncE,NA,NA,NA,1
yncG,16,G8,1,yncG,yncG,NA,NA,NA,1
yncI,15,D3,NA,NA,NA,NA,NA,NA,NA
