"UAL_promoter","Strand","Reports_genes","Gene","Operon","Operon_name","Duplicated_reporting"
"fryB",-1,"fryB,fryC,ypdF,ypdE,fryA",NA,"fryB,fryC,ypdF,ypdE,fryA","fryBC-ypdFE-fryA",NA
"fsaA",1,"fsaA","fsaA",NA,NA,NA
"fsr",-1,"fsr","fsr",NA,NA,NA
"ftsH",-1,"ftsH","ftsH",NA,NA,"ftsH"
"ftsJ",-1,"rlmE,ftsH",NA,"rlmE,ftsH","rlmE-ftsH","ftsH"
"ftsK",1,"ftsK","ftsK",NA,NA,NA
"ftsN",-1,"ftsN","ftsN",NA,NA,NA
"ftsQ",1,"ftsQ","ftsQ",NA,NA,"ftsQ"
"ftsY",-1,"ftsY,ftsE,ftsX",NA,"ftsY,ftsE,ftsX","ftsYEX",NA
"ftsZ",1,"ftsZ","ftsZ",NA,NA,"ftsZ"
"fucR",1,"fucR","fucR",NA,NA,NA
"fumB",-1,"fumB","fumB",NA,NA,NA
"fxsA",1,"fxsA","fxsA",NA,NA,NA
"gadB",-1,"gadB,gadC",NA,"gadB,gadC","gadBC","gadC"
"gadW",-1,"gadW","gadW",NA,NA,NA
"gadX",-1,"gadX","gadX",NA,NA,NA
"galE",-1,"galE,galT,galK,galM",NA,"galE,galT,galK,galM","galETKM",NA
"galP",1,"galP","galP",NA,NA,NA
"galR",1,"galR","galR",NA,NA,NA
"galS",-1,"galS","galS",NA,NA,NA
"galU",1,"galU","galU",NA,NA,NA
"garD",1,"garD","garD",NA,NA,NA
"gatY",-1,"gatY,gatZ,gatA,gatB,gatC,gatD",NA,"gatY,gatZ,gatA,gatB,gatC,gatD","gatYZABCD",NA
"gcl",1,"gcl,hyi,glxR,ybbW,allB,ybbY,glxK",NA,"gcl,hyi,glxR,ybbW,allB,ybbY,glxK","gcl-hyi-glxR-ybbW-allB-ybbY-glxK","glxK"
"gcvA",-1,"gcvA","gcvA",NA,NA,NA
"gcvP",-1,"gcvP","gcvP",NA,NA,"gcvP"
"gcvT",-1,"gcvT,gcvH,gcvP",NA,"gcvT,gcvH,gcvP","gcvTHP","gcvP"
"ggt",-1,"ggt","ggt",NA,NA,NA
"ghrA",1,"ghrA","ghrA",NA,NA,NA
"glcB",-1,"glcB","glcB",NA,NA,NA
"glcC",1,"glcC","glcC",NA,NA,NA
"glgB",-1,"glgB,glgX,glgC,glgA,glgP",NA,"glgB,glgX,glgC,glgA,glgP","glgBXCAP",NA
"glgS",-1,"glgS","glgS",NA,NA,NA
