"UAL_promoter","Plate","Well","Reports_genes"
"nfnB","AZ13","E8","nfsB"
"nfo","AZ12","G12","nfo"
"nfrB","AZ14","A2","nfrB,nfrA"
"nhaA","AZ13","D9","nhaA,nhaR"
"nhoA","AZ12","D6","nhoA"
"nlpA","AZ09","B4","nlpA"
"nlpC","AZ09","A2","nlpC"
"nlpD","AZ09","A6","nlpD,rpoS"
"nlpI","AZ11","C5","nlpI"
"nmpC","AZ15","A9","nmpC"
"nohA","AZ16","F2","nohA,ydfN,tfaQ"
"nohB","AZ09","G6","nohB"
"norR","AZ04","A9","norR"
"norV","AZ03","E10","norV,norW"
"nrdB","AZ18","A8","nrdB"
"nrdD","AZ17","E10","nrdD,nrdG"
"nrdG","AZ06","B8","nrdG"
"nrdH","AZ18","A9","nrdH,nrdI,nrdE,nrdF"
"nrfA","AZ03","F12","nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG"
"nrfE","AZ03","G8","nrfE"
"nudB","AZ06","B1","nudB,yebC,ruvC"
"nudC","AZ19","H3","nudC,hemE,nfi"
"nudE","AZ04","A6","nudE"
"nudF","AZ11","D12","nudF,yqiB,cpdA,yqiA,parE"
"nudG","AZ10","F8","nudG"
"nudH","AZ13","B7","rppH,ptsP"
"nuoM","AZ04","A1","nuoM"
"nupC","AZ16","G11","nupC"
"nupG","AZ16","E8","nupG"
"nupX","AZ14","H9","nupX"
"ompA","AZ18","H3","ompA"
"ompC","AZ20","D5","ompC"
"ompG","AZ18","E7","ompG"
"ompN","AZ12","C6","ompN"
"ompR","AZ20","C4","ompR,envZ"
"ompT","AZ18","H2","ompT"
"ompW","AZ16","D12","ompW"
"ompX","AZ18","D10","ompX"
"oppB","AZ14","E2","oppB"
"osmB","AZ11","C1","osmB"
"osmC","AZ04","H7","osmC"
"osmE","AZ18","C2","osmE"
"otsB","AZ11","C4","otsB,otsA"
"oxyR","AZ20","D1","oxyR"
"paaX","AZ11","F12","paaX,paaY"
"pabC","AZ07","F4","pabC,mltG,tmk,holB,ycfH"
"pagB","AZ02","E11","yjbD"
"panB","AZ17","E1","panB,panC"
"panD","AZ18","B12","panD"
"panE","AZ09","H6","panE,yajL"
"parC","AZ09","G12","parC"
"pbpG","AZ18","H7","pbpG"
"pck","AZ12","A10","pck"
"pcnB","AZ08","D7","pcnB,folK"
"pdhR","AZ02","A7","pdhR,aceE,aceF,lpd"
"pdxB","AZ11","D11","pdxB,usg,truA,dedA"
"pdxH","AZ17","E4","pdxH,tyrS,pdxY"
"pdxK","AZ18","C5","pdxK"
"pdxY","AZ06","A11","pdxY"
"pepB","AZ06","D2","pepB"
"pepD","AZ04","G2","pepD"
"pepE","AZ04","G11","pepE"
"pepN","AZ10","G4","pepN"
"pepQ","AZ10","G12","pepQ,yigZ,trkH,hemG"
"pepT","AZ14","B8","pepT"
"perR","AZ14","F7","perR"
"pfkA","AZ01","G2","pfkA"
"pfkB","AZ02","A4","pfkB"
"pflA","AZ03","H11","pflA"
"pgi","AZ02","C6","pgi"
"pgk","AZ05","F12","pgk"
"pgmI","AZ18","D4","gpmM,envC,yibQ"
"pgpB","AZ08","G8","pgpB"
"pgsA","AZ09","A4","pgsA"
"pheL","AZ01","B3","pheL,pheA"
"pheM","AZ10","B8","pheM"
"pheP","AZ16","E6","pheP"
"pheS","AZ01","C11","pheS"
"phnC","AZ14","D8","phnC,phnD,phnE_1,phnE_2,phnF,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnN,phnO,phnP"
"phnL","AZ06","B7","phnL"
"phoA","AZ20","G8","phoA,psiF"
"phoB","AZ20","H9","phoB,phoR"
"phoH","AZ06","F12","phoH"
"phoP","AZ05","F9","phoP,phoQ"
"phoR","AZ20","A7","phoR"
"pinE","AZ04","E9","pinE"
"pinH","AZ10","A8","pinH"
"pinR","AZ17","F5","pinR"
"pitA","AZ16","H3","pitA"
"pitB","AZ17","A2","pitB"
"pldA","AZ06","G12","pldA"
"pldB","AZ06","H2","pldB,yigL"
"plsB","AZ09","F4","plsB"
"plsC","AZ09","A9","plsC"
"plsX","AZ09","D4","plsX"
"pmbA","AZ08","H11","pmbA"
"pmrD","AZ13","E11","pmrD"
"pncB","AZ04","G1","pncB"
"pnp","AZ08","E3","pnp"
"pntA","AZ06","H8","pntA,pntB"
"polA","AZ11","H8","polA"
"polB","AZ20","E6","polB"
"potA","AZ14","G9","potA,potB,potC,potD"
"potF","AZ15","B6","potF,potG,potH,potI"
"poxB","AZ03","B1","poxB,ltaE,ybjT"
"ppa","AZ15","E12","ppa"
"ppdD","AZ08","C11","ppdD,hofB,hofC"
"pphA","AZ17","G7","pphA,sdsR"
"ppiA","AZ16","G6","ppiA"
"ppiB","AZ10","E5","ppiB,lpxH"
"ppiC","AZ09","F9","ppiC"
"ppiD","AZ11","G6","ppiD"
"pppA","AZ04","C12","pppA"
"pqiA","AZ07","D11","pqiA,pqiB"
"prfB","AZ09","A8","prfB"
"prfC","AZ09","D7","prfC"
"priA","AZ09","H9","priA"
"priC","AZ11","H12","priC,ybaM"
"prlC","AZ04","G7","prlC,rsmJ"
"proL","AZ08","B6","proL"
"proQ","AZ17","G6","proQ,prc"
"proS","AZ10","B5","proS"
"proX","AZ11","A5","proX"
"prpB","AZ08","A5","prpB,prpC,prpD,prpE"
"prpR","AZ08","F4","prpR"
"psiE","AZ18","F7","psiE"
"psiF","AZ06","F6","psiF"
"pspB","AZ07","C11","pspB"
"pspE","AZ07","F9","pspE"
"pspF","AZ15","D6","pspF"
"pstC","AZ14","D6","pstC"
"pstS","AZ20","G2","pstS,pstC,pstA,pstB,phoU"
"pth","AZ12","A3","pth,ychF"
"ptrB","AZ04","D11","ptrB"
"ptsG","AZ01","F11","ptsG"
"purM","AZ05","E1","purM,purN"
"purT","AZ12","D11","purT"
"pykF","AZ02","A8","pykF"
"pyrB","AZ09","H4","pyrB"
"pyrC","AZ09","G10","pyrC"
"pyrG","AZ06","B3","pyrG,eno"
"pyrH","AZ06","F5","pyrH"
"qseB","AZ08","G3","qseB,qseC"
"racC","AZ14","H4","racC"
"racR","AZ15","H8","racR"
"rbsD","AZ16","H12","rbsD,rbsA,rbsC,rbsB,rbsK,rbsR"
"rcsA","AZ18","E9","rcsA"
"rcsC","AZ19","B5","rcsC"
"rcsF","AZ18","G11","rcsF,trmO"
"rdoA","AZ12","A9","rdoA,dsbA"
"recA","AZ20","G5","recA,recX"
"recE","AZ04","D9","recE,recT,ralR,ydaC,xisR,intR"
"recX","AZ06","D7","recX"
"relA","AZ20","B4","relA,mazE,mazF,mazG"
"relB","AZ20","C5","relB,relE,hokD"
"renD","AZ01","G6","renD,emrE"
"rfaD","AZ18","E3","rfaD,waaF,waaC,waaL"
"rfaH","AZ09","E7","rfaH"
"rfaQ","AZ09","E12","waaQ,waaG,waaP,waaS,waaB,waaO,waaJ,waaY,waaZ,waaU"
"rfaZ","AZ09","B3","waaZ"
"rfbA","AZ04","C2","rfbA"
"rfbB","AZ04","C4","rfbB,rfbD,rfbA,rfbC,rfbX"
"rfe","AZ05","A11","rfe,wzzE,wecB,wecC,rffG,rffH,rffC,wecE,wzxE,rffT,wzyE,rffM"
"rffC","AZ09","D5","wecD"
"rhaB","AZ20","E12","rhaB,rhaA,rhaD"
"rhaD","AZ20","D3","rhaD"
"rhaS","AZ20","C8","rhaS,rhaR"
"rhaT","AZ20","B3","rhaT"
"rhlB","AZ18","C8","rhlB"
"rhlE","AZ06","G3","rhlE"
"rho","AZ08","B10","rho"
"rhoL","AZ08","B9","rhoL,rho"
"rhsA","AZ06","D8","rhsA,yibA"
"rhsB","AZ02","E4","rhsB"
"rhsD","AZ08","E4","rhsD,ybbC,ylbH,ybbD"
"rhsE","AZ08","A4","rhsE,ydcD"
"rhtB","AZ07","A2","rhtB"
"ribA","AZ09","E4","ribA"
"ribB","AZ18","C6","sroG,ribB"
"ribC","AZ18","A5","ribE"
"ribE","AZ16","D4","ribC"
"rihA","AZ14","D11","rihA"
"rihC","AZ01","A1","rihC"
"rimJ","AZ19","H4","rimJ"
"rimL","AZ19","F9","rimL"
"rlmB","AZ08","B11","rlmB"
"rluB","AZ14","F5","rluB"
"rluC","AZ10","C7","rluC"
"rluD","AZ09","E6","rluD,yfiH"
"rluE","AZ02","B2","rluE,nudJ"
"rluF","AZ10","H2","rluF"
"rmf","AZ19","F4","rmf"
"rmuC","AZ12","H4","rmuC"
"rna","AZ04","D8","rna"
"rnd","AZ04","D10","rnd"
"rne","AZ04","G4","rne"
"rnhA","AZ13","A2","rnhA"
"rnk","AZ06","A7","rnk"
"rnt","AZ04","E6","rnt,lhr"
"rob","AZ13","B11","rob"
"rof","AZ08","G2","yaeP,rof"
"rpe","AZ01","H5","rpe"
"rph","AZ04","G9","rph,pyrE"
"rpiA","AZ01","H3","rpiA"
"rplL","AZ19","G6","rplL"
"rplN","AZ19","C9","rplN,rplX,rplE,rpsN,rpsH,rplF,rplR,rpsE,rpmD,rplO,secY,rpmJ"
"rplT","AZ19","B10","rplT"
"rplY","AZ19","F11","rplY"
"rpmB","AZ19","E12","rpmB"
"rpmE","AZ09","G7","rpmE"
"rpmI","AZ19","B11","rpmI"
"rpoD","AZ20","D8","rpoD"
"rpoE","AZ20","G4","rpoE,rseA,rseB,rseC"
"rpoH","AZ20","F2","rpoH"
"rpoS","AZ20","F12","rpoS"
"rpsA","AZ19","F8","rpsA"
"rpsB","AZ09","F11","tff,rpsB,tsf"
"rpsG","AZ19","F2","rpsG"
"rpsJ","AZ19","E11","rpsJ,rplC,rplD,rplW,rplB,rpsS,rplV,rpsC,rplP,rpmC,rpsQ"
"rpsL","AZ19","C1","rpsL,rpsG,fusA,tufA"
"rpsM","AZ19","C8","rpsM,rpsK,rpsD,rpoA,rplQ"
"rpsO","AZ19","C5","rpsO"
"rpsP","AZ19","C4","rpsP,rimM,trmD,rplS"
"rpsT","AZ20","H7","rpsT"
"rpsU","AZ19","H5","rpsU,dnaG,rpoD"
"rrlA","AZ19","G3","rrlA"
"rrlB","AZ19","G8","rrlE"
"rrlD","AZ19","C7","rrlD"
"rrlE","AZ19","G9","rrlE"
"rrlG","AZ19","F1","rrlG"
"rrlH","AZ19","F6","rrlA"
"rrmA","AZ17","G5","rlmA"
"rrnA","AZ19","G2","rrsA,ileT,alaT,rrlA,rrfA"
"rrnB","AZ19","G4","rrsB,gltT,rrlB,rrfB"
"rrnC","AZ19","H6","rrsC,gltU,rrlC,rrfC"
"rrnD","AZ20","A4","rrsD,ileU,alaU,rrlD,rrfD,thrV,rrfF"
"rrnG","AZ19","C2","rrsG,gltW,rrlG,rrfG"
"rrnH","AZ19","F5","rrsH,ileV,alaV,rrlH,rrfH"
"rsd","AZ19","H12","rsd"
"rssA","AZ16","D11","rssA,rssB"
"rssB","AZ04","E5","rssB"
"rstA","AZ04","H4","rstA,rstB"
"rsuA","AZ08","F11","rsuA"
"rumA","AZ06","A2","rlmD"
"ruvA","AZ20","D7","ruvA,ruvB"
"sanA","AZ13","F12","sanA,yeiS"
"sapA","AZ14","H7","sapA,sapB,sapC,sapD,sapF"
"sbcB","AZ10","G7","sbcB"
"sbmA","AZ14","B3","sbmA,yaiW"
"sbmC","AZ12","E12","sbmC"
"sdaA","AZ02","F7","sdaA"
"sdhC","AZ02","A9","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD"
"secA","AZ13","F6","secA"
"secB","AZ13","F5","secB"
"secE","AZ13","C4","secE,nusG"
"secM","AZ01","A5","secM,secA,mutT"
"selA","AZ10","B12","selA,selB"
"selC","AZ15","H7","selC"
"selD","AZ10","B9","selD"
"seqA","AZ10","A2","seqA,pgm"
"serA","AZ01","C3","serA"
"serA","AZ01","F4","serA"
"serA","AZ02","C3","serA"
"serA","AZ03","C3","serA"
"serA","AZ04","C3","serA"
"serA","AZ05","C3","serA"
"serA","AZ06","C3","serA"
"serA","AZ07","C3","serA"
"serA","AZ08","C3","serA"
"serA","AZ09","C3","serA"
"serA","AZ10","C3","serA"
"serA","AZ11","C3","serA"
"serA","AZ12","C3","serA"
"serA","AZ13","C3","serA"
"serA","AZ14","C3","serA"
"serA","AZ15","C3","serA"
"serA","AZ16","C3","serA"
"serA","AZ17","C3","serA"
"serA","AZ18","C3","serA"
"serA","AZ19","C3","serA"
"serA","AZ20","C3","serA"
"serB","AZ01","C8","serB,radA,nadR"
"serC","AZ01","A9","serC,aroA"
"serU","AZ08","F7","serU"
"serW","AZ08","D5","serW"
"serX","AZ08","F5","serX"
"setA","AZ15","H6","sgrS,sgrT,setA"
"setB","AZ02","A5","setB"
"sfmA","AZ07","F11","sfmA"
"sfmC","AZ07","D7","sfmC,sfmD"
"shiA","AZ16","G7","shiA"
"sieB","AZ05","B12","sieB"
"sirA","AZ04","A8","tusA"
"skp","AZ10","C2","skp"
"slp","AZ18","E2","slp,dctR"
"slt","AZ14","C1","slt"
"slyA","AZ13","H12","slyA"
"slyB","AZ04","H5","slyB"
"slyD","AZ09","B2","slyD"
"slyX","AZ08","H3","slyX"
"smf","AZ09","C4","smf"
"smpA","AZ17","C5","bamE"
"smpB","AZ19","D10","smpB"
"smtA","AZ05","D12","cmoM,mukF,mukE,mukB"
"sodA","AZ20","E11","sodA"
"sodB","AZ12","G11","sodB"
"sodC","AZ13","E9","sodC"
"sohA","AZ03","C12","prlF,yhaV"
"sohB","AZ03","E5","sohB"
"solA","AZ07","C12","solA,yceO"
"somA","AZ02","G5","ybjX"
"soxR","AZ13","C2","soxR"
"soxS","AZ06","A3","soxS"
"speB","AZ06","B6","speB"
"speC","AZ06","H11","speC"
"speE","AZ06","A5","speE"
"speF","AZ11","E7","speF,potE"
"sppA","AZ12","D10","sppA"
"spr","AZ05","C1","mepS"
"spy","AZ17","G2","spy"
"srlR","AZ03","D4","srlR"
"srmB","AZ08","B2","srmB"
"ssb","AZ20","H12","ssb"
"sscR","AZ02","G3","queD"
"sseA","AZ19","D8","sseA"
"sseB","AZ06","D1","sseB"
"sspA","AZ05","G1","sspA,sspB"
"ssrA","AZ19","F12","ssrA"
"sstT","AZ15","B11","sstT"
"ssuE","AZ04","A11","ssuE,ssuA,ssuD,ssuC,ssuB"
"stfE","AZ15","D2","stfE,tfaE"
"stfR","AZ17","H8","stfR"
"sthA","AZ19","H11","sthA"
"stpA","AZ10","F2","stpA"
"sufI","AZ08","D8","ftsP"
"sulA","AZ13","B12","sulA"
"syd","AZ14","A1","syd"
"talA","AZ02","A3","talA,tktB"
"talB","AZ02","A2","talB"
"tam","AZ06","E12","tam"
"tar","AZ20","D4","tar,tap,cheR,cheB,cheY,cheZ"
"tatE","AZ13","F9","tatE"
"tdcB","AZ02","D4","tdcB"
"tdcG_2","AZ02","C11","tdcG"
"tesB","AZ09","E3","tesB"
"tgt","AZ10","C4","tgt,yajC,secD,secF"
"thiC","AZ17","H12","thiC,thiE,thiF,thiS,thiG,thiH"
"thiI","AZ10","G6","thiI"
"thiL","AZ18","A6","thiL"
"thiM","AZ17","E6","thiM,thiD"
"thrU","AZ09","G8","thrU,tyrU,glyT,thrT,tufB"
"tig","AZ11","A3","tig"
"tilS","AZ11","A2","tilS"
"tktB","AZ01","G1","tktB"
"tnaC","AZ02","F9","tnaC,tnaA,tnaB"
"tolA","AZ09","H7","tolA"
"tolB","AZ10","G2","tolB,pal,cpoB"
"tolC","AZ04","H9","tolC,ygiA,ygiB,ygiC"
"tonB","AZ16","E4","tonB"
"torR","AZ04","B2","torR"
"torS","AZ04","B1","torS"
"torT","AZ03","F1","torT"
"torY","AZ17","G8","torY,torZ"
"tpiA","AZ01","H7","tpiA"
"treA","AZ11","B12","treA"
"treB","AZ17","A10","treB,treC"
"treF","AZ11","H9","treF"
"trkA","AZ11","F5","trkA"
"trmA","AZ10","F5","trmA"
"trmE","AZ13","G1","mnmE"
"trmU","AZ12","B4","mnmA"
"trpL","AZ20","G12","trpL,trpE,trpD,trpC,trpB,trpA"
"trpR","AZ01","C9","trpR"
"trxA","AZ18","B9","trxA"
"trxC","AZ08","B3","trxC"
"tsf","AZ09","D8","tsf"
"ttdA","AZ03","F7","ttdA,ttdB,ttdT"
"tufA","AZ09","B1","tufA"
"tufB","AZ09","D6","tufB"
"tyrB","AZ01","B5","tyrB"
"tyrP","AZ17","D2","tyrP"
"tyrS","AZ12","E10","tyrS"
"ubiC","AZ07","D9","ubiC,ubiA"
"ubiE","AZ07","F6","ubiE,ubiJ,ubiB"
"ubiF","AZ14","A10","ubiF"
"ubiG","AZ20","H8","ubiG"
"ubiX","AZ06","B10","ubiX"
"ucpA","AZ06","C8","ucpA"
"udk","AZ06","H9","udk,dcd"
"udp","AZ05","E3","udp"
"ugd","AZ04","C1","ugd"
"ugpA","AZ14","D4","ugpA"
"ugpB","AZ15","A1","ugpB,ugpA,ugpE,ugpC,ugpQ"
"uhpA","AZ16","F8","uhpA"
"uhpT","AZ16","F7","uhpT"
"uidA","AZ03","B2","uidA,uidB,uidC"
"uidC","AZ18","H5","uidC"
"umuD","AZ20","G11","umuD,umuC"
"ung","AZ12","D12","ung"
"upp","AZ05","E12","upp,uraA"
"usg","AZ06","B11","usg"
"ushA","AZ15","H2","ushA"
"uspA","AZ04","H11","uspA"
"uspB","AZ11","E3","uspB"
"uspE","AZ16","B4","uspE"
"uspF","AZ16","B7","uspF"
"uspG","AZ14","F9","uspG"
"uvrA","AZ02","B7","uvrA"
"uvrC","AZ20","B5","uvrC"
"uvrD","AZ20","E7","uvrD"
"uvrY","AZ20","C6","uvrY,uvrC"
"uxaC","AZ16","G5","uxaC,uxaA"
"uxuA","AZ15","H9","uxuA,uxuB"
"uxuR","AZ11","G9","uxuR"
"vacJ","AZ09","E5","mlaA"
"valV","AZ08","A8","valV,valW"
"wrbA","AZ01","E8","wrbA,yccJ"
"wrbA","AZ01","F10","wrbA,yccJ"
"wrbA","AZ02","F10","wrbA,yccJ"
"wrbA","AZ03","F10","wrbA,yccJ"
"wrbA","AZ04","F10","wrbA,yccJ"
"wrbA","AZ05","F10","wrbA,yccJ"
"wrbA","AZ06","F10","wrbA,yccJ"
"wrbA","AZ07","F10","wrbA,yccJ"
"wrbA","AZ08","F10","wrbA,yccJ"
"wrbA","AZ09","F10","wrbA,yccJ"
"wrbA","AZ10","F10","wrbA,yccJ"
"wrbA","AZ11","F10","wrbA,yccJ"
"wrbA","AZ12","F10","wrbA,yccJ"
"wrbA","AZ13","F10","wrbA,yccJ"
"wrbA","AZ14","F10","wrbA,yccJ"
"wrbA","AZ15","F10","wrbA,yccJ"
"wrbA","AZ16","F10","wrbA,yccJ"
"wrbA","AZ17","F10","wrbA,yccJ"
"wrbA","AZ18","F10","wrbA,yccJ"
"wrbA","AZ19","F10","wrbA,yccJ"
"wrbA","AZ20","F10","wrbA,yccJ"
"xapA","AZ06","H10","xapA,xapB"
"xasA","AZ17","A5","gadC"
"xseA","AZ10","G8","xseA"
"xseB","AZ04","G3","xseB,ispA,dxs,yajO"
"xthA","AZ12","D9","xthA"
"xylB","AZ12","B6","xylB"
"xylE","AZ12","F7","xylE"
"xylF","AZ16","H4","xylF,xylG,xylH,xylR"
"xylG","AZ14","E6","xylG"
"yaaH","AZ01","E3","satP"
"yaaI","AZ01","E4","yaaI"
"yaaJ","AZ02","H9","yaaJ"
"yaaU","AZ16","A9","yaaU"
"yaaW","AZ11","H11","yaaW"
"yabI","AZ01","A3","yabI"
"yabN","AZ16","D6","sgrR,sroA,tbpA,thiP,thiQ"
"yabP","AZ01","A2","yabP,yabQ"
"yacG","AZ12","B3","yacG"
"yacH","AZ01","E5","yacH"
"yacH","AZ02","B11","yacH"
"yacL","AZ01","A6","yacL"
"yadC","AZ08","D4","yadC"
"yadF","AZ14","G5","can"
"yadG","AZ14","C2","yadG,yadH"
"yadK","AZ12","B1","yadK"
"yadN","AZ08","C12","yadN"
"yadR","AZ11","G1","erpA"
"yadS","AZ12","B5","yadS"
"yaeH","AZ08","D1","yaeH"
"yaeQ","AZ08","B5","yaeQ,arfB,nlpE"
"yafC","AZ13","A1","yafC"
"yafD","AZ12","C9","yafD,yafE"
"yafJ","AZ08","C6","yafJ"
"yafK","AZ12","G5","yafK"
"yafL","AZ12","C12","yafL"
"yafM","AZ11","G8","rayT"
"yafS","AZ06","G5","yafS"
"yafT","AZ08","C5","yafT"
"yafU","AZ12","C7","yafU"
"yafV","AZ12","C1","yafV"
"yafZ","AZ21","A3","yafZ"
"yagB","AZ12","F11","yagB"
"yagE","AZ14","A4","yagE,yagF"
"yagG","AZ08","C8","yagG,yagH"
"yagI","AZ08","D3","yagI"
"yagJ","AZ11","H4","yagJ"
"yagM","AZ12","F12","yagM,yagL"
"yagT","AZ13","G9","paoA,paoB,paoC,paoD"
"yagU","AZ13","D1","yagU"
"yagY","AZ12","G1","ecpB,ecpC,ecpD,ecpE"
"yagZ","AZ12","G2","ecpA"
"yahB","AZ07","B4","yahB"
"yahC","AZ13","G10","yahC"
"yahD","AZ13","D2","yahD,yahE,yahF,yahG"
"yahK","AZ07","D3","yahK"
"yahM","AZ11","G12","yahM"
"yahN","AZ17","D12","yahN"
"yahO","AZ17","D4","yahO"
"yaiA","AZ12","H5","yaiA"
"yaiB","AZ18","D8","iraP"
"yaiE","AZ11","F11","yaiE"
"yaiI","AZ13","H3","yaiI"
"yaiM","AZ07","B5","frmB"
"yaiN","AZ17","G9","frmR,frmA,frmB"
"yaiP","AZ07","B6","yaiP"
"yaiW","AZ11","F2","yaiW"
"yaiX","AZ13","E10","yaiX,yaiO"
"yaiZ","AZ13","D5","yaiZ"
"yajB","AZ10","E7","acpH"
"yajC","AZ11","E9","yajC"
"yajG","AZ19","A11","yajG,ampG"
"yajO","AZ13","G4","yajO"
"yajR","AZ15","H12","yajR"
"ybaA","AZ11","G3","ybaA"
"ybaB","AZ11","G2","ybaB,recR"
"ybaD","AZ13","D6","nrdR,ribD,ribE,nusB,thiL,pgpA"
"ybaE","AZ15","E10","ybaE"
"ybaK","AZ13","G7","ybaK"
"ybaL","AZ14","H5","ybaL"
"ybaN","AZ11","H3","ybaN"
"ybaO","AZ07","D4","decR"
"ybaP","AZ13","H4","ybaP"
"ybaQ","AZ13","D7","ybaQ"
"ybaT","AZ11","E10","ybaT"
"ybaV","AZ11","G7","ybaV"
"ybaY","AZ08","G7","ybaY"
"ybbB","AZ18","G12","ybbB"
"ybbC","AZ11","F8","ybbC"
"ybbL","AZ14","B4","fetA,fetB"
"ybcK","AZ01","G7","ybcK"
"ybcL","AZ01","G8","ybcL,ybcM"
"ybcV","AZ15","B4","ybcV"
"ybcW","AZ03","D1","ybcW"
"ybcY","AZ15","B12","ybcY"
"ybdF","AZ14","D9","ybdF"
"ybdG","AZ07","B7","ybdG"
"ybdH","AZ06","H3","ybdH"
"ybdK","AZ15","C2","ybdK"
"ybdL","AZ06","G2","ybdL"
"ybdN","AZ14","D10","ybdN"
"ybdR","AZ14","A7","ybdR"
"ybeB","AZ12","C8","rsfS,rlmH,mrdA,mrdB,rlpA"
"ybeF","AZ07","B8","ybeF"
"ybeL","AZ20","E10","ybeL"
"ybeQ","AZ14","F11","ybeQ"
"ybeR","AZ14","A8","ybeR,djlB"
"ybeT","AZ14","F12","ybeT"
"ybeU","AZ14","A9","ybeU,djlC"
"ybeZ","AZ14","C5","ybeZ,ybeY,ybeX,lnt"
"ybfD","AZ12","H7","ybfD"
"ybfE","AZ12","E8","ybfE"
"ybfF","AZ10","E8","ybfF"
"ybgA","AZ12","H8","ybgA,phr"
"ybgC","AZ12","H11","ybgC,tolQ,tolR,tolA"
"ybgD","AZ07","C1","ybgD"
"ybgH","AZ13","A4","dtpD"
"ybgI","AZ12","D1","ybgI,ybgJ,ybgK,ybgL,nei"
"ybgQ","AZ07","B11","ybgQ,ybgP,ybgO"
"ybgS","AZ01","C12","ybgS"
"ybhA","AZ14","G1","ybhA"
"ybhC","AZ07","C2","ybhC"
"ybhD","AZ04","H2","ybhD"
"ybhE","AZ14","A11","pgl"
"ybhI","AZ15","B5","ybhI"
"ybhJ","AZ07","D10","ybhJ"
"ybhK","AZ07","G10","ybhK"
"ybhM","AZ13","C5","ybhM"
"ybhQ","AZ14","B1","ybhQ"
"ybiA","AZ13","B1","ybiA"
"ybiF","AZ19","B2","rhtA"
"ybiH","AZ06","H4","cecR,ybhG,ybhF,ybhS,ybhR"
"ybiJ","AZ15","A8","ybiJ"
"ybiM","AZ14","G2","mcbA"
"ybiN","AZ14","B2","rlmF"
"ybiO","AZ07","C5","ybiO"
"ybiS","AZ13","A5","ldtB"
"ybiU","AZ15","A10","ybiU"
"ybiV","AZ15","A11","ybiV"
"ybjC","AZ18","B4","ybjC,nfsA,rimK,ybjN"
"ybjE","AZ07","C8","lysO"
"ybjG","AZ21","A6","ybjG"
"ybjH","AZ15","B1","ybjH"
"ybjJ","AZ06","H5","ybjJ,ybjI"
"ybjK","AZ06","G4","rcdA"
"ybjL","AZ15","E7","ybjL"
"ybjM","AZ15","E1","ybjM"
"ybjN","AZ07","E10","ybjN"
"ybjO","AZ13","C6","ybjO,rlmC"
"ybjP","AZ15","E6","ybjP"
"ybjQ","AZ15","D12","ybjQ,amiD"
"ybjS","AZ07","C6","ybjS"
"ycaC","AZ16","B12","ycaC"
"ycaD","AZ15","G2","ycaD"
"ycaI","AZ13","C8","ycaI,msbA,lpxK,ycaQ"
"ycaK","AZ15","G3","ycaK"
"ycaL","AZ13","C7","ycaL"
"ycaN","AZ16","C1","ycaN"
"ycaO","AZ16","C2","ycaO"
"ycaP","AZ15","G4","ycaP"
"ycbB","AZ07","E6","ldtD"
"ycbC","AZ05","E11","elyC"
"ycbK","AZ13","C9","ycbK,gloC"
"ycbR","AZ07","E5","elfD,elfC,elfG,ycbU,ycbV,ycbF"
"ycbW","AZ13","C11","zapC"
"ycbZ","AZ02","G6","ycbZ"
"yccA","AZ07","C9","yccA"
"yccE","AZ13","D12","yccE"
"yccF","AZ10","E9","yccF,yccS"
"yccM","AZ15","B3","yccM"
"yccR","AZ12","E6","sxy"
"ycdC","AZ15","G6","rutR"
"ycdM","AZ16","C4","rutA,rutB,rutC,rutD,rutE,rutF,rutG"
"ycdN","AZ13","C12","efeU_1,efeU_2"
"ycdO","AZ14","D12","efeO,efeB"
"ycdZ","AZ14","E8","ycdZ"
"yceF","AZ16","C6","yceF"
"yceK","AZ14","E10","yceK"
"yceP","AZ15","D5","bssS"
"ycfD","AZ15","D8","roxA"
"ycfJ","AZ14","E11","ycfJ"
"ycfQ","AZ16","C7","comR"
"ycfR","AZ15","G9","bhsA"
"ycfS","AZ15","D7","ldtC"
"ycfT","AZ14","G8","ycfT"
"ycgE","AZ07","D1","bluR"
"ycgF","AZ10","F6","bluF"
"ycgH","AZ14","E12","ycgH_2"
"ycgI","AZ15","G11","ymgH,ycgI,ymgJ"
"ycgJ","AZ12","D3","ycgJ"
"ycgK","AZ13","A8","pliG"
"ycgL","AZ12","D4","ycgL"
"ycgM","AZ07","E3","ycgM"
"ycgN","AZ14","F1","ycgN"
"ycgR","AZ16","C12","ycgR"
"ycgX","AZ15","D9","ycgX"
"ycgY","AZ14","F2","ycgY"
"ychF","AZ17","E12","ychF"
"ychH","AZ11","H5","ychH"
"ychJ","AZ16","F11","ychJ"
"ychM","AZ17","A4","dauA"
"yciA","AZ15","D11","yciA"
"yciC","AZ16","F12","yciC,yciB"
"yciG","AZ12","E9","yciG,yciF,yciE"
"yciI","AZ16","G4","yciI"
"yciK","AZ03","E3","yciK,btuR"
"yciS","AZ14","F6","lapA,lapB,pyrF,yciH"
"yciT","AZ17","H6","yciZ,yciT"
"yciW","AZ17","F2","yciW"
"ycjG","AZ13","E1","ycjG"
"ycjK","AZ02","G12","puuA,puuP"
"ycjL","AZ03","A1","puuD,puuR,puuC,puuB,puuE"
